channel_name,video_id,title,published_at,view_count,like_count,comment_count
Cocomelon - Nursery Rhymes,4nsWmFt2bPU,"It's Time for Bed, JJ! Goodnight! 😴💤🌙 #cocomelon #kids #shorts",2026-08-19T12:01:31Z,144904,2063,0.0
Cocomelon - Nursery Rhymes,vFdBQ64gZf4,Humpty Dumpty at School with JJ's Friends | CoComelon Nursery Rhymes & Kids Songs,2026-08-18T07:00:29Z,242012,836,0.0
Cocomelon - Nursery Rhymes,lIjx8WqqpxI,Let's Decorate JJ's School Backpack! 🎒 Easy CoComelon Crafts 🎨 #kids #shorts,2026-08-17T12:00:20Z,302133,2905,0.0
Cocomelon - Nursery Rhymes,AGZFMMgMIEo,I Love to Go to School! ❤️🚌 Back to School Bus Toy Play #cocomelon #kids #shorts,2026-08-16T12:00:38Z,612486,5895,0.0
Cocomelon - Nursery Rhymes,O0nV7hJ9qzk,Potty Training Song | CoComelon Nursery Rhymes & Kids Songs,2026-08-15T07:00:06Z,755609,1450,0.0
Cocomelon - Nursery Rhymes,7NMvvPL76tU,Pat-a-Cake! Sing Along with JJ & Cody 🎂 #cocomelon #kids #shorts,2026-08-14T12:00:50Z,1250253,12031,0.0
Cocomelon - Nursery Rhymes,Gfcybr0q-HA,Bus Wash Song and Wheels on the Animal Bus | CoComelon Nursery Rhymes & Kids Songs,2026-08-13T07:00:33Z,2106457,2708,0.0
Cocomelon - Nursery Rhymes,gJ_8xQ8a7ME,Let's Stack Healthy Fruit with JJ! 🍎🍉🍊🍍🍌 #cocomelon #kids #shorts,2026-08-12T12:00:29Z,1417538,15798,0.0
Cocomelon - Nursery Rhymes,3G8OSUZgPCw,Clap Along with JJ and His Siblings | Beach Boom-Clap | CoComelon Nursery Rhymes & Kids Songs,2026-08-11T07:00:38Z,802606,1753,0.0
Cocomelon - Nursery Rhymes,fwkmBfDfWUc,Wheels on the Bus! 🚌 Back to School Song! 🎒 #cocomelon #kids #shorts,2026-08-10T12:00:06Z,4288065,23264,0.0
